danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0.414,0.404,0,-9.928,minor,0.0499,0.271,0,0.3,0.232,71.105,354320,4
0.542,0.749,6,-8.333,minor,0.0277,0.173,0.942,0.315,0.662,94.031,237827,4
0.425,0.387,0,-7.114,major,0.0317,0.901,0,0.124,0.46,91.964,224293,4
0.691,0.414,2,-9.749,major,0.036,0.721,0.931,0.11,0.287,124.846,270080,4
0.467,0.779,0,-3.071,major,0.0336,0.455,0,0.176,0.722,191.287,186453,4
0.31,0.0276,0,-28.55,minor,0.0483,0.941,0.204,0.163,0.238,171.437,156893,3
0.666,0.917,0,-5.791,major,0.0791,0.00225,2.50E-05,0.302,0.588,122.035,271209,4
0.464,0.771,8,-4.503,major,0.336,0.0235,0,0.063,0.678,158.777,198237,4
0.798,0.717,9,-4.564,major,0.118,0.00541,0.00127,0.0613,0.79,105.024,171000,4
0.577,0.845,2,-3.003,major,0.0521,0.0781,0,0.114,0.448,137.992,184320,4
0.573,0.387,4,-12.733,minor,0.0388,0.514,1.17E-06,0.117,0.392,84.236,293107,3
0.666,0.948,10,-2.776,major,0.0638,0.137,0,0.192,0.548,100.996,211931,4
0.754,0.907,7,-1.737,major,0.164,0.14,0,0.305,0.602,144.964,216501,4
0.613,0.854,4,-4.512,major,0.0664,0.208,0.000127,0.132,0.821,145.937,260670,4
0.8,0.894,6,-7.346,minor,0.04,0.0108,0.437,0.0285,0.968,138.48,201840,4
0.375,0.199,2,-10.427,major,0.0362,0.852,0,0.0897,0.206,107.161,246640,3
0.658,0.591,2,-5.221,major,0.0647,0.435,8.15E-05,0.123,0.487,126.829,242861,4
0.613,0.848,8,-6.972,major,0.0357,0.279,0,0.0762,0.725,132.049,172440,4
0.518,0.411,2,-9.385,major,0.0286,0.724,0.0661,0.159,0.472,143.913,395013,4
0.717,0.916,11,-6.047,major,0.0344,0.543,0.000156,0.0854,0.963,133.144,261773,4
0.418,0.687,5,-4.293,major,0.105,0.202,0,0.111,0.553,79.449,238480,5
0.652,0.397,7,-15.245,major,0.0385,0.478,0.000946,0.0679,0.859,82.235,237013,4
0.744,0.881,6,-5.5,minor,0.0692,0.217,0,0.425,0.529,110.026,163636,4
0.808,0.717,0,-3.772,major,0.215,0.176,0,0.168,0.684,96.881,238440,4
0.714,0.905,8,-2.663,major,0.0289,0.00855,2.55E-05,0.146,0.824,125.927,155333,4
0.708,0.666,2,-7.042,major,0.0349,0.166,0.000229,0.0929,0.832,89.019,213440,4
0.701,0.849,7,-6.888,major,0.354,0.0182,0.000106,0.116,0.869,203.71,207408,4
0.677,0.558,11,-7.622,minor,0.252,0.0278,0,0.873,0.548,95.032,166800,4
0.444,0.995,7,-2.097,major,0.171,3.11E-05,2.03E-06,0.19,0.275,79.999,202307,5
0.55,0.989,1,-3.621,minor,0.067,0.00503,0.866,0.487,0.522,150.035,181200,4
0.255,0.0734,9,-17.988,minor,0.0333,0.383,0.0001,0.2,0.112,92.884,218507,4
0.378,0.481,2,-9.102,major,0.132,0.722,0.000185,0.665,0.343,124.462,334653,4
0.597,0.837,10,-6.518,major,0.375,0.00427,0.00114,0.839,0.461,126.342,171360,4
0.407,0.356,8,-16.535,major,0.0406,0.938,0.882,0.147,0.314,82.209,387827,4
0.652,0.637,1,-8.094,major,0.0593,0.0677,0,0.0996,0.176,110.08,198653,4
0.276,0.982,4,-4.115,minor,0.188,0.00214,5.39E-06,0.288,0.315,103.925,240667,3
0.386,0.538,0,-7.664,major,0.0403,0.266,7.18E-05,0.213,0.253,166.49,268427,4
0.213,0.177,0,-17.848,minor,0.0292,0.975,0.869,0.079,0.379,89.316,220600,4
0.378,0.555,7,-6.086,major,0.0498,0.0504,0,0.199,0.548,91.966,249773,4
0.853,0.777,1,-3.167,minor,0.182,0.194,0,0.118,0.298,168.056,75413,4
0.569,0.497,9,-6.699,major,0.0375,0.336,0,0.102,0.146,103.525,219248,4
0.633,0.401,4,-12.549,major,0.0439,0.524,0,0.123,0.517,134.978,244360,4
0.466,0.657,3,-6.379,minor,0.217,0.00758,0.00115,0.344,0.653,139.809,220307,4
0.445,0.499,2,-7.965,major,0.0307,0.48,0,0.164,0.24,140.071,230893,4
0.571,0.479,7,-7.732,major,0.0257,0.764,0.00945,0.167,0.303,111.966,263413,4
0.486,0.513,0,-9.397,major,0.0349,0.746,0.00213,0.113,0.408,129.131,247227,4
0.537,0.314,4,-9.006,major,0.0311,0.283,0.865,0.176,0.212,107.614,226640,4
0.573,0.551,9,-9.088,major,0.0259,0.27,0.000194,0.0854,0.43,88.485,207067,4
0.607,0.759,0,-8.502,major,0.024,0.00661,5.72E-05,0.315,0.735,104.026,251733,4
0.651,0.744,2,-6.941,major,0.0311,0.467,2.67E-05,0.309,0.853,115.979,200253,4
0.661,0.268,7,-13.674,major,0.0271,0.622,0.00239,0.107,0.227,101.006,212626,4
0.662,0.227,2,-12.03,major,0.108,0.951,0,0.0613,0.608,116.003,206467,5
0.811,0.863,0,-4.64,major,0.103,0.0503,0,0.309,0.642,121.971,179000,4
0.791,0.619,1,-5.886,major,0.0532,0.00784,0.00423,0.351,0.376,103.989,173987,4
0.532,0.783,2,-5.697,major,0.0523,0.0038,0.0012,0.161,0.664,124.08,247427,4
0.475,0.956,4,-7.198,major,0.689,0.497,7.36E-05,0.844,0.473,95.267,286256,4
0.733,0.543,1,-10.002,major,0.0445,0.00213,0.000169,0.0703,0.117,106.019,293543,4
0.292,0.246,0,-9.758,major,0.033,0.913,0.0883,0.209,0.235,140.316,197613,4
