danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,label
0.82,0.731,9,-6.02,major,0.159,0.0133,1.94E-05,0.131,0.805,127.076,237120,4,0
0.194,0.19,1,-12.703,major,0.0354,0.895,1.34E-06,0.122,0.129,85.93,251973,3,1
0.97,0.262,10,-10.023,major,0.0693,0.926,0.908,0.0794,0.706,118.971,223853,4,1
0.584,0.428,5,-14.283,major,0.0293,0.829,0.848,0.107,0.598,111.57,139067,4,1
0.609,0.737,1,-5.588,major,0.422,0.0717,0,0.0575,0.286,130.106,199827,4,0
0.657,0.56,4,-7.934,major,0.376,0.802,0.00079,0.216,0.2,118.211,132000,4,0
0.268,0.158,4,-16.031,major,0.0381,0.86,1.02E-05,0.0873,0.377,175.85,174013,4,1
0.662,0.948,8,-3.869,major,0.0914,0.142,1.23E-05,0.0675,0.833,88.987,282387,4,0
0.761,0.639,5,-7.577,minor,0.0539,0.0359,0,0.0945,0.933,164.088,219120,4,0
0.704,0.716,0,-7.199,major,0.105,0.689,0,0.45,0.637,95.038,311279,4,0
0.671,0.314,5,-8.091,minor,0.244,0.11,0,0.0825,0.295,110.898,191600,4,0
0.401,0.43,1,-9.25,major,0.0331,0.784,0.00502,0.922,0.142,87.938,243040,4,1
0.576,0.108,5,-12.435,major,0.0675,0.823,0,0.135,0.591,89.201,168667,4,0
0.976,0.415,9,-10.169,minor,0.135,0.938,0.922,0.0908,0.838,123.052,196147,4,1
0.685,0.893,1,-3.586,major,0.0646,0.000961,0.000379,0.324,0.452,131.006,250053,4,1
0.417,0.0829,3,-18.641,major,0.0399,0.992,0,0.211,0.603,145.994,93240,4,1
0.467,0.678,4,-6.729,minor,0.0397,0.325,2.31E-05,0.101,0.16,149.22,243720,3,1
0.678,0.722,11,-4.268,major,0.266,0.108,0,0.0888,0.295,142.075,205152,4,0
0.583,0.747,4,-5.633,minor,0.0834,0.293,0.00656,0.659,0.678,160.865,233893,4,1
0.61,0.858,9,-4.867,major,0.0318,0.0284,0,0.102,0.407,110.881,214813,4,1
0.575,0.939,2,-3.141,minor,0.0392,0.0112,0,0.204,0.764,111.983,175640,4,1
0.859,0.756,8,-3.36,minor,0.0643,0.168,4.65E-05,0.163,0.913,102.033,195613,4,0
0.554,0.699,9,-5.788,major,0.0369,0.000363,3.56E-06,0.0819,0.225,128.021,262893,4,1
0.666,0.721,9,-5.848,minor,0.0407,0.217,0,0.0982,0.498,120.081,277547,4,1
0.703,0.656,1,-4.593,minor,0.0496,0.0894,0,0.371,0.224,110.082,231189,4,0
0.836,0.718,10,-4.56,minor,0.0581,0.0633,2.35E-05,0.0884,0.343,99.016,171013,4,0
0.407,0.868,2,-4.057,minor,0.199,0.12,0,0.25,0.57,146.687,213213,4,0
0.511,0.334,4,-14.778,minor,0.0796,0.577,1.44E-06,0.161,0.324,127.797,149027,3,1
0.582,0.881,5,-3.373,major,0.045,0.0125,0,0.158,0.219,127.992,213750,4,1
0.655,0.949,10,-3.42,minor,0.065,0.0632,0,0.298,0.786,110.99,243520,4,0
0.528,0.672,8,-6.54,major,0.0316,0.00987,0.000704,0.141,0.45,116.078,210173,4,1
0.532,0.128,0,-16.487,major,0.0448,0.829,0,0.098,0.581,117.29,212533,3,1
0.472,0.701,0,-8.138,major,0.0942,0.616,1.48E-06,0.966,0.465,140.823,205787,4,1
0.77,0.505,1,-7.345,major,0.0828,0.311,7.40E-05,0.0777,0.763,171.798,279507,4,0
0.511,0.777,11,-9.538,minor,0.038,0.0102,0.0155,0.215,0.245,140,174893,4,1
0.796,0.252,9,-9.183,minor,0.0442,0.917,0.61,0.0577,0.622,123.039,249813,4,1
0.667,0.723,0,-6.498,major,0.0282,0.0464,0,0.276,0.733,97.016,244770,4,1
0.297,0.613,9,-9.065,major,0.0931,0.0385,3.98E-05,0.0734,0.358,170.962,170107,4,1
0.377,0.438,0,-9.703,major,0.0283,0.785,0,0.111,0.119,80.686,189800,3,1
0.192,0.111,4,-21.133,major,0.0455,0.968,0.0906,0.376,0.0394,88.223,290707,4,1
0.638,0.883,5,-4.273,major,0.0409,0.253,0,0.146,0.919,118.198,169784,4,0
0.594,0.497,1,-8.155,major,0.034,0.377,0,0.103,0.518,110.924,170427,4,1
0.788,0.673,9,-9.232,major,0.199,0.0044,4.94E-06,0.0755,0.483,99.979,228000,4,0
0.424,0.371,5,-10.313,major,0.0611,0.884,0.784,0.106,0.41,81.528,316880,4,1
0.565,0.461,0,-7.273,major,0.141,0.586,0,0.162,0.197,157.894,238933,4,1
0.886,0.629,1,-4.404,minor,0.306,0.051,7.66E-06,0.121,0.49,158.002,182491,4,0
0.701,0.968,1,-0.913,major,0.078,0.103,0,0.832,0.908,100.009,219533,4,0
0.167,0.968,6,-4.993,major,0.109,2.04E-06,0.868,0.331,0.124,112.26,180738,4,0
0.981,0.569,7,-6.025,major,0.0652,0.0318,0.000535,0.088,0.538,124.989,202400,4,0
0.631,0.678,5,-7.18,major,0.0273,0.122,7.06E-05,0.204,0.273,98.477,228067,4,1
0.473,0.803,9,-8.055,major,0.037,0.00987,1.78E-05,0.15,0.495,148.07,193963,4,1
0.189,0.0343,9,-27.421,minor,0.0414,0.99,0.926,0.0957,0.0477,100.968,362354,4,1
0.525,0.574,1,-6.448,minor,0.296,0.53,6.89E-06,0.314,0.419,199.512,206249,4,1
0.484,0.849,0,-5.176,major,0.0843,0.212,0,0.141,0.468,148.179,238248,4,1
0.327,0.28,2,-9.003,major,0.0408,0.952,3.31E-05,0.104,0.131,83.047,240600,4,1
0.524,0.873,10,-5.911,major,0.0895,0.0193,0,0.392,0.612,150.009,228147,4,1
0.869,0.746,6,-6.477,minor,0.104,0.0422,0,0.0936,0.503,119.968,190002,4,0
0.374,0.943,6,-4.108,minor,0.0556,0.000175,0.000156,0.125,0.33,112.084,333827,4,0
0.856,0.854,6,-3.98,major,0.103,0.0284,0,0.045,0.872,117.947,174785,4,0
0.357,0.832,1,-5.232,major,0.0423,0.0489,0,0.169,0.747,219.983,202800,4,1
0.757,0.64,1,-4.458,major,0.401,0.115,0,0.103,0.416,129.971,210150,4,0
0.64,0.352,11,-7.555,minor,0.0273,0.842,1.74E-06,0.246,0.588,107.769,254491,4,1
0.419,0.372,5,-10.103,major,0.0589,0.559,0,0.0673,0.776,170.366,195800,3,0
0.436,0.0629,10,-26.586,minor,0.046,0.949,1.85E-06,0.0959,0.291,99.148,130133,4,1
0.558,0.653,5,-8.312,minor,0.0428,0.273,0.007,0.108,0.4,166,213493,4,1
0.608,0.753,5,-6.209,minor,0.0331,0.0143,0.000636,0.0818,0.931,144.85,97004,4,1
0.579,0.508,2,-9.484,major,0.027,0.00574,0.000494,0.0575,0.623,147.125,391376,4,1
0.542,0.727,1,-5.268,minor,0.0849,0.135,0,0.328,0.568,150.098,231360,4,1
0.728,0.615,6,-9.051,major,0.263,0.0346,0,0.196,0.816,100.14,245533,4,0
0.511,0.769,4,-7.032,major,0.042,0.181,0,0.0921,0.814,129.657,160907,4,0
0.606,0.296,4,-8.356,major,0.0502,0.908,0,0.255,0.664,115.085,180040,3,1
0.389,0.396,7,-7.999,major,0.0332,0.887,0,0.0828,0.58,171.86,192053,3,1
0.173,0.167,2,-17.398,major,0.0409,0.923,0.0124,0.11,0.0329,71.746,312400,1,1
0.513,0.662,11,-12.787,major,0.0435,0.813,0.18,0.288,0.737,101.275,230520,4,1
0.59,0.94,10,-8.162,major,0.133,0.434,0.00202,0.102,0.657,175.927,257840,4,1
0.34,0.973,1,-3.599,minor,0.248,6.64E-05,0.813,0.319,0.17,114.078,233693,4,0
0.504,0.647,7,-5.871,major,0.0359,0.0276,0,0.152,0.235,139.883,226387,4,1
0.594,0.872,1,-2.204,major,0.0335,0.402,3.02E-05,0.345,0.846,145.115,192627,4,0
0.276,0.0652,9,-12.904,major,0.036,0.881,0,0.102,0.102,55.747,259307,4,1
0.703,0.867,6,-4.292,major,0.0453,0.107,0,0.119,0.541,128.008,213708,4,1
0.62,0.679,7,-7.007,major,0.0272,0.0586,0.000256,0.19,0.635,112.011,298600,4,1
0.516,0.605,0,-7.988,major,0.0565,0.479,4.55E-06,0.97,0.44,112.132,187053,4,1
0.503,0.618,7,-6.06,minor,0.0299,0.379,0,0.114,0.236,81.907,233560,4,1
0.542,0.599,9,-6.281,minor,0.0276,0.201,0,0.0486,0.398,117.993,204653,4,0
0.36,0.492,1,-10.325,major,0.0431,0.811,0,0.276,0.287,135.455,344867,4,1
0.544,0.403,5,-10.548,major,0.428,0.68,0,0.584,0.586,145.101,303360,3,1
0.803,0.631,8,-4.213,major,0.0444,0.102,7.39E-06,0.0858,0.659,104.999,216575,4,0
0.366,0.139,7,-19.978,major,0.039,0.885,0.913,0.0725,0.314,139.478,352000,4,1
0.767,0.271,0,-9.23,major,0.0531,0.572,0.0929,0.162,0.637,124.042,244173,4,1
0.542,0.76,0,-10.175,major,0.0546,0.291,6.62E-06,0.268,0.626,170.182,233333,4,1
0.825,0.832,5,-5.853,minor,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4,1
0.578,0.848,1,-5.092,major,0.0882,0.00609,0.00436,0.106,0.341,178.139,251800,4,0
0.38,0.0993,2,-20.567,major,0.0509,0.914,2.32E-05,0.0605,0.447,174.874,165427,4,1
0.686,0.372,3,-11.961,major,0.0358,0.639,0,0.132,0.308,122.953,212293,4,1
0.5,0.335,7,-11.136,major,0.0291,0.796,0.857,0.141,0.621,145.327,166093,4,1
0.649,0.29,5,-9.5,major,0.0781,0.91,0,0.355,0.697,86.345,108027,3,0
0.708,0.779,7,-6.28,major,0.0787,0.421,0.00176,0.115,0.452,142.012,218228,4,1
0.83,0.768,11,-5.564,minor,0.264,0.0117,0.00017,0.0743,0.654,125.972,204879,4,0
0.588,0.909,1,-4.113,major,0.0704,0.00419,0.00129,0.243,0.748,159.019,209973,4,0
0.668,0.514,6,-6.936,minor,0.359,0.281,0,0.13,0.663,126.913,182520,5,0
0.686,0.652,5,-4.512,minor,0.0407,0.00969,1.46E-05,0.0776,0.568,128.006,225000,4,1
0.743,0.771,5,-7.648,minor,0.319,0.396,0.000828,0.445,0.766,171.935,229240,4,0
0.369,0.762,10,-8.993,major,0.0464,0.22,2.80E-05,0.579,0.639,84.957,302107,4,1
0.689,0.815,9,-3.76,major,0.0297,0.457,0,0.115,0.751,112.987,205667,4,0
0.558,0.718,5,-5.691,minor,0.0331,0.14,0,0.301,0.474,127.992,238027,4,1
0.321,0.955,10,-2.749,minor,0.146,0.00464,0.00897,0.269,0.34,167.467,189480,4,1
0.908,0.928,1,-5.972,major,0.173,0.00146,0.853,0.0532,0.208,128.024,393333,4,0
0.769,0.764,11,-3.522,minor,0.175,0.194,0,0.136,0.592,89.991,201200,4,0
0.841,0.729,6,-3.047,minor,0.239,0.0384,0,0.276,0.43,132.073,195474,4,0
0.707,0.758,4,-4.511,minor,0.0917,0.0399,0,0.141,0.663,97.037,197355,4,0
0.546,0.915,5,-3.783,major,0.0435,0.087,2.24E-06,0.341,0.92,170.15,153173,4,0
0.692,0.466,0,-10.741,major,0.0292,0.743,0.109,0.1,0.576,114.999,266200,4,1
0.768,0.768,0,-6.699,major,0.253,0.142,0,0.0664,0.467,136.943,247040,4,0
0.322,0.54,1,-6.288,minor,0.0273,0.769,0,0.12,0.179,93.776,244293,4,1
0.532,0.859,1,-4.106,major,0.142,0.0662,0,0.684,0.937,118.919,199796,4,0
0.429,0.516,4,-7.709,major,0.0297,0.088,4.82E-05,0.301,0.492,80.933,247320,4,1
0.321,0.738,5,-7.067,minor,0.0666,0.206,0.000314,0.961,0.339,104.708,302307,4,1
0.857,0.441,0,-6.649,major,0.0452,0.197,0.00123,0.108,0.637,91.977,208720,4,0
0.759,0.917,0,-4.023,major,0.055,0.189,0,0.616,0.953,126.027,202000,4,0
0.373,0.0979,1,-19.385,major,0.0484,0.859,0,0.0554,0.164,148.563,268000,4,1
0.522,0.764,10,-6.998,major,0.0352,0.0054,0.00142,0.287,0.459,117.021,286560,4,1
0.4,0.829,2,-4.577,minor,0.0419,0.0349,0,0.237,0.52,152.078,182920,4,1
0.646,0.707,7,-7.388,major,0.0347,0.456,0,0.329,0.79,123.983,205386,4,0
0.0826,0.183,2,-18.629,minor,0.0474,0.877,0.844,0.0777,0.0385,175.432,205440,4,1
0.533,0.889,1,-4.963,minor,0.095,0.164,0.0011,0.089,0.679,106.95,180918,4,0
0.696,0.315,11,-15.067,minor,0.0318,0.237,4.06E-05,0.131,0.221,112.998,323787,4,1
0.844,0.79,4,-5.695,major,0.0321,0.189,0.0205,0.0774,0.967,138.852,206027,4,1
0.911,0.6,6,-8.049,minor,0.289,0.0838,0.000113,0.338,0.254,96.01,172954,4,0
0.408,0.202,9,-14.05,minor,0.0376,0.938,2.11E-06,0.0982,0.119,86.476,295693,3,1
0.499,0.235,4,-9.564,minor,0.0396,0.862,0.000224,0.281,0.603,129.747,133467,4,1
0.606,0.71,1,-6.058,major,0.0528,0.381,0,0.103,0.505,107.85,273455,4,1
0.401,0.416,0,-10.067,major,0.0417,0.804,0,0.0957,0.547,66.47,201484,3,1
0.683,0.703,5,-5.278,major,0.419,0.0908,0,0.511,0.348,90.029,141367,4,0
0.774,0.431,1,-8.407,major,0.346,0.000146,1.99E-05,0.112,0.358,201.843,181400,4,0
0.507,0.752,4,-4.812,minor,0.0356,0.047,0,0.219,0.188,133.001,263827,4,1
0.81,0.221,5,-11.005,major,0.0429,0.601,0.21,0.184,0.799,109.96,136413,4,1
0.296,0.185,0,-12.429,major,0.0328,0.832,1.24E-05,0.111,0.205,86.294,186794,4,1
0.596,0.92,7,-6.638,major,0.0363,0.602,1.02E-05,0.076,0.967,164.301,196587,4,0
0.586,0.877,8,-2.373,major,0.105,0.000924,0.0811,0.0723,0.47,125.014,227741,4,1
0.303,0.0714,8,-26.545,major,0.044,0.939,0.535,0.0994,0.316,85.24,212573,4,1
0.596,0.8,11,-6.914,minor,0.319,0.0226,0,0.303,0.5,79.934,305173,4,0
0.797,0.654,9,-12.652,major,0.0389,0.206,0.00214,0.0641,0.962,134.055,244240,4,1
0.702,0.987,7,-2.711,major,0.148,0.00347,0.0256,0.281,0.254,99.982,174201,4,0
0.475,0.579,5,-4.096,major,0.0334,0.609,0,0.0756,0.46,178.151,182747,4,1
0.511,0.304,0,-11.096,major,0.0279,0.845,1.03E-05,0.0741,0.183,112.379,239767,3,1
0.733,0.907,4,-4.002,minor,0.158,0.0264,1.13E-06,0.1,0.66,96.053,231480,4,0
0.55,0.333,0,-14.012,major,0.0409,0.481,0.00448,0.235,0.173,127.93,343493,4,1
0.426,0.619,9,-6.751,major,0.0768,0.808,0,0.11,0.374,148.188,161173,4,1
0.39,0.302,0,-10.362,major,0.0379,0.849,0.000191,0.122,0.241,109.394,184667,3,1
0.534,0.911,9,-2.826,major,0.0441,0.000111,0.000406,0.078,0.672,139.02,234093,4,1
0.715,0.456,2,-14.894,major,0.036,0.47,4.72E-05,0.281,0.75,126.185,198587,4,1
0.653,0.676,5,-6.318,major,0.031,0.0273,0.0215,0.128,0.597,125.027,237813,4,1
